0.00,104.41
0.10,79.76
0.20,73.47
0.30,65.74
0.40,58.49
0.50,52.21
0.60,60.42
0.70,53.17
0.80,54.62
0.90,50.27
1.00,46.89
1.10,58.01
1.20,47.37
1.30,52.21
1.40,49.79
1.50,47.85
1.60,53.17
1.70,47.37
1.80,46.40
1.90,40.60
2.00,38.19
2.10,51.24
2.20,52.69
2.30,37.70
2.40,44.95
2.50,44.95
2.60,41.09
2.70,35.77
2.80,38.67
2.90,39.15
3.00,46.40
3.10,54.62
3.20,46.89
3.30,43.02
3.40,49.79
3.50,54.62
3.60,47.85
3.70,45.44
3.80,52.69
3.90,47.85
4.00,49.79
4.10,47.85
4.20,45.92
4.30,43.99
4.40,48.82
4.50,42.54
4.60,54.62
4.70,50.27
4.80,56.56
4.90,51.24
5.00,58.49
5.10,58.97
5.20,56.56
5.30,55.59
5.40,55.11
5.50,58.01
5.60,51.24
5.70,54.62
5.80,54.14
5.90,48.82
6.00,45.44
6.10,51.72
6.20,47.85
6.30,51.72
6.40,59.46
6.50,53.66
6.60,52.69
6.70,50.75
6.80,50.27
6.90,52.69
7.00,48.34
7.10,49.79
7.20,47.85
7.30,45.44
7.40,56.07
7.50,49.30
7.60,46.40
7.70,42.54
7.80,50.75
7.90,46.89
8.00,52.21
8.10,49.30
8.20,51.24
8.30,48.82
8.40,46.89
8.50,43.50
8.60,51.72
8.70,36.25
8.80,52.21
8.90,45.92
9.00,49.79
9.10,43.99
9.20,50.75
9.30,42.05
9.40,50.75
9.50,48.34
9.60,52.69
9.70,51.24
9.80,53.66
9.90,55.59
10.00,50.75
10.10,52.69
10.20,55.59
10.30,55.11
10.40,53.17
10.50,47.37
10.60,46.89
10.70,45.92
10.80,49.79
10.90,38.19
11.00,42.05
11.10,44.47
11.20,44.95
11.30,44.47
11.40,52.69
11.50,58.49
11.60,46.40
11.70,52.21
11.80,54.62
11.90,47.85
12.00,54.14
12.10,46.40
12.20,47.85
12.30,50.75
12.40,51.24
12.50,44.95
12.60,55.11
12.70,46.89
12.80,49.30
12.90,43.99
13.00,52.69
13.10,53.17
13.20,52.69
13.30,47.37
13.40,52.69
13.50,57.04
13.60,48.82
13.70,51.72
13.80,54.14
13.90,49.30
14.00,50.75
14.10,58.01
14.20,50.27
14.30,52.21
14.40,48.82
14.50,52.21
14.60,52.21
14.70,53.66
14.80,56.56
14.90,40.12
15.00,52.69
15.10,49.30
15.20,50.75
15.30,40.60
15.40,42.54
15.50,45.92
15.60,41.09
15.70,47.37
15.80,60.42
15.90,56.56
16.00,54.14
16.10,50.75
16.20,51.24
16.30,48.34
16.40,48.34
16.50,58.49
16.60,52.21
16.70,45.92
16.80,42.54
16.90,52.69
17.00,51.24
17.10,58.49
17.20,51.24
17.30,58.49
17.40,55.11
17.50,54.62
17.60,52.69
17.70,51.72
17.80,52.69
17.90,48.82
18.00,47.85
18.10,53.66
18.20,54.62
18.30,50.27
18.40,44.47
18.50,52.69
18.60,52.69
18.70,51.24
18.80,51.24
18.90,48.82
19.00,50.75
19.10,57.52
19.20,49.30
19.30,48.82
19.40,49.30
19.50,48.34
19.60,48.82
19.70,48.82
19.80,49.30
19.90,50.27
20.00,48.34
20.10,176.92
20.20,226.22
20.30,269.73
20.40,305.50
20.50,320.96
20.60,351.90
20.70,332.08
20.80,363.02
20.90,370.27
21.00,377.04
21.10,237.34
21.20,164.83
21.30,113.59
21.40,94.74
21.50,60.42
21.60,54.14
21.70,51.24
21.80,36.74
21.90,32.87
22.00,20.79
22.10,23.69
22.20,14.50
22.30,11.60
22.40,12.08
22.50,9.67
22.60,8.70
22.70,8.22
22.80,7.73
22.90,4.35
23.00,3.38
23.10,1.45
23.20,2.42
23.30,17.89
23.40,23.69
23.50,29.97
23.60,43.50
23.70,38.19
23.80,43.02
23.90,37.22
24.00,38.67
24.10,39.15
24.20,48.82
24.30,44.95
24.40,47.85
24.50,47.37
24.60,50.75
24.70,42.54
24.80,47.85
24.90,43.99
25.00,49.30
25.10,40.12
25.20,40.12
25.30,44.47
